date,next_date,spy_close,gap,abs_gap,gap_sign,gap_followthrough,gap_direction_success,mfe_from_open,mae_from_open,excursion_efficiency,gap_fill,gap_retention_close,day_abs_oc,day_range,rv5,monthly_opex_week,quarterly_opex_week,eligible_contracts,total_gamma_weight,near_gamma_share_0_5,front_near_gamma_share,weighted_abs_distance
2025-04-28,2025-04-29,550.8499755859375,-0.0035218344874077268,0.0035218344874077268,-1.0,-0.00985595898120617,0.0,0.0006562489464467802,0.011914593252941197,0.05220405570588821,1.0,-0.006299413437552026,0.000979413932340245,0.015491006891616489,0.010340567283685835,False,False,1074,32271.016835143357,0.18226583360127716,0.135088335910339,0.018320805839231336
2025-04-29,2025-04-30,554.3200073242188,-0.01217708166909437,0.01217708166909437,-1.0,-0.012728912485884258,0.0,0.011172232927243897,0.016344964273640183,0.40600911661471656,1.0,-0.000396829809890642,0.00985595898120617,0.012526140909279272,0.008157066826816743,False,False,1231,33259.42402799928,0.14341902434340315,0.09747254348006411,0.018180410490712336
2025-04-30,2025-05-01,554.5399780273438,0.010513249397424484,0.010513249397424484,1.0,-0.0033906605111237997,0.0,0.006602802147280373,0.0044993543748135245,0.5947314951055173,0.0,0.007086942026725218,0.012728912485884258,0.027060181486876375,0.008445388797873715,False,False,1179,29846.396309382257,0.1548309267605392,0.09386175759210376,0.01954369622296006
2025-05-01,2025-05-02,558.469970703125,0.011209214629290587,0.011209214629290587,1.0,0.0035946901476524573,1.0,0.006463309086287339,0.004178625778893386,0.607343417166985,0.0,0.014844198430334021,0.0033906605111237997,0.011198510871564324,0.003567587082486358,False,False,1298,28257.74224127282,0.17270253306717212,0.10314383325018825,0.01868486554093852
2025-05-02,2025-05-05,566.760009765625,-0.007392904173212478,0.007392904173212478,-1.0,-0.0016709074944774027,0.0,0.0015488607767144558,0.007252461092353224,0.17598047199681904,0.0,0.005734349537724115,0.0035946901476524573,0.010743639434087886,0.0059636327879047405,False,False,1237,24307.283976405826,0.13669584129921608,0.07587355548165553,0.01888404979665887
2025-05-05,2025-05-06,563.510009765625,-0.00990225016972568,0.00990225016972568,-1.0,-0.001559326669310357,0.0,0.0017415445720674327,0.009714449807873837,0.1520203759105162,0.0,0.008358364343191038,0.0016709074944774027,0.008733876988036352,0.007721392682558501,False,False,1158,28573.407162932454,0.16424674389734614,0.08884118005238578,0.01762879321975673
2025-05-07,2025-05-08,561.1500244140625,0.007288542532958298,0.007288542532958298,1.0,-0.00031843584829627236,0.0,0.00896965432703456,0.006302257344511064,0.5873301600968969,0.0,0.0069677857514378605,0.0017852360196646266,0.01392274421408442,0.009513083244446685,False,False,1366,31807.938064531445,0.17365061412298524,0.09549712123469975,0.017613622295746326
2025-05-08,2025-05-09,565.0599975585938,0.0025129772347918244,0.0025129772347918244,1.0,-0.003777633256360602,0.0,0.001800627676914468,0.006610225742007314,0.21408382565122588,1.0,-0.0012741491279434358,0.00031843584829627236,0.015343464273306967,0.009498572348761896,False,False,1397,33518.036939626414,0.17093888535224305,0.10432084138127953,0.016954588458280892
2025-05-09,2025-05-12,564.3400268554688,0.03035394094426569,0.03035394094426569,1.0,0.002614098075283122,1.0,0.0026313126626726913,0.0076770983718070784,0.2552588031144108,0.0,0.03304738719814848,0.003777633256360602,0.008388472471692686,0.006463118146052951,False,False,1347,28469.41362695414,0.17515580616434623,0.12975297399267147,0.018050157347084424
2025-05-14,2025-05-15,587.5900268554688,-0.0034548396060070097,0.0034548396060070097,-1.0,-0.00836809965587193,0.0,0.0007862279812873574,0.009238973234318104,0.07842515719918884,1.0,-0.004884349607746863,0.000374220758474042,0.005861908329326484,0.013718672423311196,True,False,1145,35368.5038961355,0.35060938192291624,0.27338562951759526,0.013822416015418271
